
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
0, 12, 80, 12, 0
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
1, 12, 80, 23, 0.391304347826087
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
2, 12, 80, 33, 0.7878787878787878
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
3, 12, 80, 42, 1.0714285714285714
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
4, 12, 80, 54, 1.5740740740740742
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
5, 12, 80, 63, 1.9841269841269842
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
6, 12, 80, 71, 2.084507042253521
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
7, 12, 80, 79, 2.4683544303797467
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
8, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
9, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
10, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
11, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
12, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
13, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
14, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
15, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
16, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
17, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
18, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
19, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
20, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
21, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
22, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
23, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
24, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
25, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
26, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
27, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
28, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
29, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
30, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
31, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
32, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
33, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
34, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
35, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
36, 12, 80, 80, 2.5375
Ticks, Agent Count, User Count, Total Issues, Average Resolution Time
37, 12, 80, 80, 2.5375
